Route,Latitude Debut,Longitude Debut,Latitude Fin,Longitude Fin,route_id
"33.551,-7.607 → 33.557,-7.609",33.55110680622544,-7.606628807644618,33.55736883893674,-7.609119650922892,110
"33.551,-7.607 → 33.559,-7.595",33.55110680622544,-7.606628807644618,33.5594284108214,-7.594952777566913,111
"33.557,-7.609 → 33.553,-7.598",33.55736883893674,-7.609119650922892,33.552638813319106,-7.598079673528729,112
"33.557,-7.609 → 33.561,-7.602",33.55736883893674,-7.609119650922892,33.5612239916881,-7.602434066270029,113
"33.557,-7.609 → 33.551,-7.607",33.55736883893674,-7.609119650922892,33.55110680622544,-7.606628807644618,114
"33.557,-7.609 → 33.559,-7.595",33.55736883893674,-7.609119650922892,33.5594284108214,-7.594952777566913,115
"33.559,-7.595 → 33.553,-7.598",33.5594284108214,-7.594952777566913,33.552638813319106,-7.598079673528729,116
"33.559,-7.595 → 33.561,-7.602",33.5594284108214,-7.594952777566913,33.5612239916881,-7.602434066270029,117
"33.559,-7.595 → 33.551,-7.607",33.5594284108214,-7.594952777566913,33.55110680622544,-7.606628807644618,118
"33.559,-7.595 → 33.557,-7.609",33.5594284108214,-7.594952777566913,33.55736883893674,-7.609119650922892,119
"33.569,-7.644 → 33.574,-7.653",33.569346106695185,-7.644186735862398,33.57439940559289,-7.652547715520084,120
"33.569,-7.644 → 33.557,-7.64",33.569346106695185,-7.644186735862398,33.55724595712827,-7.639673809114366,121
"33.569,-7.644 → 33.571,-7.618",33.569346106695185,-7.644186735862398,33.570722512994294,-7.618140348582532,122
"33.569,-7.644 → 33.546,-7.639",33.569346106695185,-7.644186735862398,33.54555018322015,-7.639283797050576,123
"33.574,-7.653 → 33.569,-7.644",33.57439940559289,-7.652547715520084,33.569346106695185,-7.644186735862398,124
"33.574,-7.653 → 33.557,-7.64",33.57439940559289,-7.652547715520084,33.55724595712827,-7.639673809114366,125
"33.574,-7.653 → 33.571,-7.618",33.57439940559289,-7.652547715520084,33.570722512994294,-7.618140348582532,126
"33.574,-7.653 → 33.546,-7.639",33.57439940559289,-7.652547715520084,33.54555018322015,-7.639283797050576,127
"33.557,-7.64 → 33.569,-7.644",33.55724595712827,-7.639673809114366,33.569346106695185,-7.644186735862398,128
"33.557,-7.64 → 33.574,-7.653",33.55724595712827,-7.639673809114366,33.57439940559289,-7.652547715520084,129
"33.557,-7.64 → 33.571,-7.618",33.55724595712827,-7.639673809114366,33.570722512994294,-7.618140348582532,130
"33.557,-7.64 → 33.546,-7.639",33.55724595712827,-7.639673809114366,33.54555018322015,-7.639283797050576,131
"33.571,-7.618 → 33.569,-7.644",33.570722512994294,-7.618140348582532,33.569346106695185,-7.644186735862398,132
"33.571,-7.618 → 33.574,-7.653",33.570722512994294,-7.618140348582532,33.57439940559289,-7.652547715520084,133
"33.571,-7.618 → 33.557,-7.64",33.570722512994294,-7.618140348582532,33.55724595712827,-7.639673809114366,134
"33.571,-7.618 → 33.546,-7.639",33.570722512994294,-7.618140348582532,33.54555018322015,-7.639283797050576,135
"33.546,-7.639 → 33.569,-7.644",33.54555018322015,-7.639283797050576,33.569346106695185,-7.644186735862398,136
"33.546,-7.639 → 33.574,-7.653",33.54555018322015,-7.639283797050576,33.57439940559289,-7.652547715520084,137
"33.546,-7.639 → 33.557,-7.64",33.54555018322015,-7.639283797050576,33.55724595712827,-7.639673809114366,138
